Gender,Age at enrollment,Marital status,Course,Previous qualification,Displaced,Educational special needs,Debtor,Tuition fees up to date,Scholarship holder,Unemployment rate,Inflation rate,GDP,Target
Male,20,Single,Animation and Multimedia Design,Secondary education,No,No,No,No,No,10.8,1.4,1.74,Dropout
Male,19,Single,Communication Design,Secondary education,No,No,No,No,No,10.8,1.4,1.74,Dropout
Female,20,Single,Journalism and Communication,Secondary education,Yes,Yes,Yes,Yes,Yes,9.4,-0.8,-3.12,Graduate
Female,45,Married,Social Service (evening attendance),Secondary education,Yes,Yes,Yes,Yes,Yes,13.9,-0.3,0.79,Graduate
Male,50,Married,Management (evening attendance),Basic education 3rd cycle (9th/10th/11th year) or equiv.,Yes,Yes,Yes,Yes,Yes,16.2,0.3,-0.92,Graduate
Female,18,Single,Nursing,Secondary education,Yes,Yes,Yes,Yes,Yes,15.5,2.8,-4.06,Graduate
Male,22,Single,Tourism,Secondary education,No,No,No,No,No,15.5,2.8,-4.06,Dropout
Female,21,Single,Social Service,Secondary education,Yes,Yes,Yes,Yes,Yes,16.2,0.3,-0.92,Graduate
Female,18,Single,Social Service,Secondary education,No,No,No,No,No,8.9,1.4,3.51,Dropout
Female,18,Single,Advertising and Marketing Management,Secondary education,Yes,Yes,Yes,Yes,Yes,13.9,-0.3,0.79,Graduate
Female,18,Single,Nursing,Secondary education,Yes,Yes,Yes,Yes,Yes,12.7,3.7,-1.7,Graduate
Female,19,Single,Basic Education,Secondary education,Yes,Yes,Yes,Yes,Yes,12.7,3.7,-1.7,Dropout
Female,21,Single,Tourism,Professional higher technical course,Yes,Yes,Yes,Yes,Yes,8.9,1.4,3.51,Graduate
Female,18,Single,Veterinary Nursing,Secondary education,Yes,Yes,Yes,Yes,Yes,10.8,1.4,1.74,Graduate
Female,20,Single,Journalism and Communication,Secondary education,Yes,Yes,Yes,Yes,Yes,15.5,2.8,-4.06,Dropout
Female,18,Single,Social Service,Secondary education,Yes,Yes,Yes,Yes,Yes,10.8,1.4,1.74,Enrolled
Female,18,Single,Nursing,Secondary education,Yes,Yes,Yes,Yes,Yes,15.5,2.8,-4.06,Graduate
Female,20,Single,Equinculture,Secondary education,Yes,Yes,Yes,Yes,Yes,10.8,1.4,1.74,Graduate
